epoch,train_loss,train_acc,train_acc5,val_loss,val_acc,val_acc5,lr
135,1.964395,0.686084,0.91537,1.904681,0.693973,0.921875,0.0015186869191811325
136,1.95295,0.690068,0.917594,,,,0.0015054466351102887
137,1.942329,0.696035,0.917025,,,,0.0014921763738309948
138,1.938889,0.690614,0.917834,,,,0.0014788776926672486
139,1.929378,0.698073,0.920634,,,,0.0014655521522782483
140,1.916812,0.701451,0.921372,1.798312,0.722098,0.936161,0.0014522013164752407
141,1.910152,0.704146,0.923439,,,,0.001438826752038002
142,1.902791,0.708129,0.922344,,,,0.0014254300285309687
143,1.892926,0.710723,0.923893,,,,0.0014120127181190428
144,1.892565,0.70862,0.926592,,,,0.0013985763953830892
145,1.864012,0.71776,0.930115,1.802174,0.719866,0.942411,0.0013851226371351562
146,1.870278,0.717008,0.926891,,,,0.0013716530222334243
147,1.868746,0.718179,0.92716,,,,0.0013581691313969235
148,1.846436,0.724506,0.930739,,,,0.0013446725470200277
149,1.846102,0.724833,0.930115,,,,0.001331164852986755
150,1.839537,0.728286,0.929738,1.739023,0.745536,0.944866,0.0013176476344848895
151,1.843922,0.722703,0.931861,,,,0.001304122477819955
152,1.815468,0.733967,0.93383,,,,0.001290590970229054
153,1.818666,0.730643,0.934205,,,,0.0012770546996945975
154,1.807697,0.737779,0.933495,,,,0.0012635152547579495
155,1.798692,0.740239,0.936726,1.667701,0.765402,0.954241,0.0012499742243330047
156,1.789143,0.743015,0.936827,,,,0.0012364331975197203
157,1.783804,0.744925,0.938999,,,,0.0012228937634176315
158,1.779713,0.745408,0.937458,,,,0.0012093575109393606
159,1.769905,0.748235,0.940589,,,,0.001195826028624153
160,1.766822,0.749313,0.940065,1.675979,0.771875,0.95,0.0011823009044514535
161,1.767535,0.749279,0.938865,,,,0.0011687837256545513
162,1.748419,0.756076,0.94125,,,,0.00115527607853431
163,1.748412,0.758021,0.940179,,,,0.0011417795482730096
164,1.736237,0.760857,0.943268,,,,0.0011282957187483164
165,1.728199,0.767262,0.941897,1.629073,0.782143,0.954241,0.0011148261723474095
166,1.715401,0.767303,0.944695,,,,0.0011013724897812802
167,1.71378,0.765551,0.947181,,,,0.0010879362498992283
168,1.714366,0.770294,0.945121,,,,0.0010745190295035761
169,1.69777,0.773391,0.946186,,,,0.0010611224031646272
170,1.701007,0.772269,0.944872,1.660321,0.772321,0.954911,0.0010477479430358793
171,1.676489,0.779862,0.949568,,,,0.0010343972186695285
172,1.67621,0.778844,0.950462,,,,0.0010210717968322726
173,1.655096,0.787197,0.952649,,,,0.0010077732413214468
174,1.665528,0.783163,0.950114,,,,0.0009945031127815023
175,1.651633,0.789768,0.951442,1.622607,0.778571,0.956696,0.0009812629685208608
176,1.648609,0.79214,0.950896,,,,0.0009680543623291547
177,1.632112,0.79197,0.954105,,,,0.0009548788442948846
178,1.631975,0.796211,0.952209,,,,0.0009417379606235089
179,1.628779,0.79197,0.955413,,,,0.0009286332534559906
180,1.621125,0.796614,0.95684,1.578463,0.790179,0.963393,0.0009155662606878186
181,1.625715,0.795167,0.953452,,,,0.0009025385157885307
182,1.608345,0.804079,0.955072,,,,0.0008895515476217527
183,1.604668,0.803355,0.955954,,,,0.0008766068802657809
184,1.593859,0.803553,0.957919,,,,0.0008637060328347221
185,1.582955,0.813057,0.957629,1.525757,0.814286,0.966741,0.0008508505193002226
186,1.581188,0.810422,0.958033,,,,0.0008380418483137934
187,1.568024,0.812708,0.959695,,,,0.0008252815230297665
188,1.570682,0.814995,0.959901,,,,0.0008125710409288896
189,1.55972,0.818001,0.959489,,,,0.0007999118936425929
